PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
406,Shaquille O'Neal,215.9,325.0,Center,7,1,1999-00,LAL,79,1.0,40.04,13.65,3.78,0.46,3.03,2.82,29.67,17.14
297,Alonzo Mourning,208.28,261.0,Center,7,2,1999-00,MIA,79,0.99,34.78,9.53,1.56,0.51,3.72,2.75,21.75,15.0
124,Vlade Divac,215.9,260.0,Center,10,26,1999-00,SAC,82,0.99,28.95,8.0,2.98,1.26,1.26,2.32,12.26,8.84
735,Bryant Reeves,213.36,290.0,Center,4,6,1999-00,VAN,69,0.97,25.7,5.65,1.19,0.48,0.55,1.72,8.86,8.67
201,Chris Dudley,210.82,260.0,Center,12,61,1999-00,NYK,47,0.06,9.77,2.89,0.11,0.15,0.45,0.38,1.17,7.1
689,Theo Ratliff,208.28,235.0,Center,4,18,1999-00,PHI,57,0.98,31.49,7.63,0.63,0.56,3.0,1.89,11.86,7.03
956,Erick Dampier,210.82,265.0,Center,3,10,1999-00,GSW,21,0.57,23.57,6.38,0.9,0.38,0.71,1.38,7.95,4.99
1709,Michael Olowokandi,213.36,270.0,Center,1,1,1999-00,LAC,80,0.96,31.16,8.2,0.48,0.44,1.75,2.21,9.79,3.46
1565,Michael Stewart,208.28,230.0,Center,2,61,1999-00,TOR,42,0.02,9.26,2.24,0.14,0.12,0.45,0.4,1.38,3.2
911,Ervin Johnson,210.82,245.0,Center,6,23,1999-00,MIL,80,0.92,26.61,8.1,0.55,1.01,1.59,1.0,4.79,2.95
969,Travis Knight,213.36,235.0,Center,3,29,1999-00,LAL,63,0.0,6.51,2.05,0.37,0.1,0.37,0.41,1.73,2.8
1051,Dean Garrett,210.82,250.0,Center,3,38,1999-00,MIN,56,0.41,10.79,2.5,0.34,0.14,0.71,0.38,2.04,2.52
376,Eric Montross,213.36,270.0,Center,5,9,1999-00,DET,51,0.0,6.51,1.41,0.14,0.12,0.18,0.43,0.78,2.0
399,Sean Rooks,208.28,260.0,Center,7,30,1999-00,DAL,71,0.18,14.1,3.49,0.96,0.41,0.73,0.99,4.35,1.92
1725,Rasho Nesterovic,213.36,255.0,Center,1,17,1999-00,MIN,82,0.67,21.01,4.62,1.13,0.26,1.04,0.87,5.74,1.05
323,Greg Foster,210.82,250.0,Center,9,35,1999-00,SEA,60,0.08,11.97,1.78,0.68,0.17,0.3,0.47,3.38,0.86
406,Shaquille O'Neal,215.9,325.0,Center,8,1,2000-01,LAL,74,1.0,39.51,12.7,3.74,0.64,2.76,2.95,28.72,19.28
297,Alonzo Mourning,208.28,261.0,Center,8,2,2000-01,MIA,13,0.23,23.54,7.77,0.92,0.31,2.38,2.15,13.62,16.88
165,Hakeem Olajuwon,213.36,255.0,Center,16,1,2000-01,HOU,58,0.95,26.6,7.43,1.24,1.21,1.52,1.4,11.88,16.68
121,Patrick Ewing,213.36,255.0,Center,15,1,2000-01,SEA,79,1.0,26.67,7.41,1.16,0.67,1.15,1.91,9.62,14.0
764,David Robinson,215.9,250.0,Center,11,1,2000-01,SAS,80,1.0,29.64,8.64,1.45,1.0,2.46,1.52,14.39,13.2
717,Arvydas Sabonis,220.98,292.0,Center,5,24,2000-01,POR,61,0.69,21.3,5.43,1.49,0.66,1.02,1.39,10.1,10.64
980,Zydrunas Ilgauskas,220.98,260.0,Center,3,20,2000-01,CLE,24,1.0,25.67,6.67,0.75,0.62,1.54,2.5,11.71,10.13
735,Bryant Reeves,213.36,290.0,Center,5,6,2000-01,VAN,75,0.64,24.39,6.03,1.07,0.57,0.72,1.2,8.29,10.11
124,Vlade Divac,215.9,260.0,Center,11,26,2000-01,SAC,81,1.0,29.88,8.31,2.85,1.07,1.15,2.37,12.02,9.64
762,Shawn Bradley,228.6,275.0,Center,7,2,2000-01,DAL,82,0.43,24.43,7.41,0.46,0.44,2.78,1.07,7.06,8.37
270,Horace Grant,208.28,245.0,Center,13,10,2000-01,LAL,77,1.0,31.03,7.08,1.57,0.66,0.79,0.62,8.53,7.84
689,Theo Ratliff,208.28,235.0,Center,5,18,2000-01,PHI,50,1.0,36.0,8.26,1.16,0.6,3.74,2.52,12.42,7.8
