Name,Team,Salary
Stephen Curry,Golden State Warriors,"$40,231,758"
Russell Westbrook,Houston Rockets,"$38,506,482"
Chris Paul,Oklahoma City Thunder,"$38,506,482"
Kevin Durant,Phoenix Suns,"$38,199,000"
James Harden,Houston Rockets,"$38,199,000"
John Wall,Houston Rockets,"$38,199,000"
LeBron James,Los Angeles Lakers,"$37,436,858"
Kyle Lowry,Toronto Raptors,"$34,996,296"
Blake Griffin,Detroit Pistons,"$34,449,964"
Tobias Harris,Philadelphia 76ers,"$32,742,000"
Jimmy Butler,Miami Heat,"$32,742,000"
Kawhi Leonard,LA Clippers,"$32,742,000"
Klay Thompson,Golden State Warriors,"$32,742,000"
Kemba Walker,Boston Celtics,"$32,742,000"
Gordon Hayward,Boston Celtics,"$32,700,690"
Mike Conley,Utah Jazz,"$32,511,624"
Kyrie Irving,Brooklyn Nets,"$31,742,000"
Khris Middleton,Milwaukee Bucks,"$30,603,448"
Paul George,LA Clippers,"$30,560,700"
Paul Millsap,Denver Nuggets,"$30,350,000"
Damian Lillard,Portland Trail Blazers,"$29,802,321"
Kevin Love,Cleveland Cavaliers,"$28,942,830"
Nikola Vucevic,Orlando Magic,"$28,000,000"
Al Horford,Philadelphia 76ers,"$28,000,000"
DeMar DeRozan,San Antonio Spurs,"$27,739,975"
CJ McCollum,Portland Trail Blazers,"$27,556,959"
Joel Embiid,Philadelphia 76ers,"$27,504,630"
Andrew Wiggins,Golden State Warriors,"$27,504,630"
Nikola Jokic,Denver Nuggets,"$27,504,630"
Devin Booker,Phoenix Suns,"$27,285,000"
Karl-Anthony Towns,Minnesota Timberwolves,"$27,285,000"
D'Angelo Russell,Minnesota Timberwolves,"$27,285,000"
Kristaps Porzingis,Dallas Mavericks,"$27,285,000"
Otto Porter Jr.,Chicago Bulls,"$27,250,575"
Bradley Beal,Washington Wizards,"$27,093,019"
Andre Drummond,Cleveland Cavaliers,"$27,093,019"
Anthony Davis,Los Angeles Lakers,"$27,093,018"
Hassan Whiteside,Portland Trail Blazers,"$27,093,017"
Jrue Holiday,New Orleans Pelicans,"$26,231,111"
LaMarcus Aldridge,San Antonio Spurs,"$26,000,000"
Giannis Antetokounmpo,Milwaukee Bucks,"$25,842,697"
Steven Adams,Oklahoma City Thunder,"$25,842,697"
Marc Gasol,Toronto Raptors,"$25,595,700"
Nicolas Batum,Charlotte Hornets,"$25,565,217"
Chandler Parsons,Atlanta Hawks,"$25,102,511"
Harrison Barnes,Sacramento Kings,"$24,147,727"
Serge Ibaka,Toronto Raptors,"$23,271,604"
Rudy Gobert,Utah Jazz,"$23,241,573"
Danilo Gallinari,Oklahoma City Thunder,"$22,615,559"
Victor Oladipo,Indiana Pacers,"$21,000,000"
Tim Hardaway Jr.,Dallas Mavericks,"$20,025,127"
Malcolm Brogdon,Indiana Pacers,"$20,000,000"
Terry Rozier,Charlotte Hornets,"$19,894,737"
Aaron Gordon,Orlando Magic,"$19,863,636"
Zach LaVine,Chicago Bulls,"$19,500,000"
Kent Bazemore,Sacramento Kings,"$19,269,662"
Goran Dragic,Miami Heat,"$19,217,900"
Jeff Teague,Atlanta Hawks,"$19,000,000"
Evan Turner,Atlanta Hawks,"$18,606,556"
Draymond Green,Golden State Warriors,"$18,539,130"
Tristan Thompson,Cleveland Cavaliers,"$18,539,130"
Allen Crabbe,Minnesota Timberwolves,"$18,500,000"
Julius Randle,New York Knicks,"$18,000,000"
Myles Turner,Indiana Pacers,"$18,000,000"
Gary Harris,Denver Nuggets,"$17,839,286"
Derrick Favors,New Orleans Pelicans,"$17,650,000"
Andre Iguodala,Miami Heat,"$17,185,185"
Evan Fournier,Orlando Magic,"$17,150,000"
Bismack Biyombo,Charlotte Hornets,"$17,000,000"
Bojan Bogdanovic,Utah Jazz,"$17,000,000"
Timofey Mozgov,Orlando Magic,"$16,720,000"
Gorgui Dieng,Memphis Grizzlies,"$16,229,213"
Ricky Rubio,Phoenix Suns,"$16,200,000"
Jonas Valanciunas,Memphis Grizzlies,"$16,000,000"
Brandon Knight,Detroit Pistons,"$15,643,750"
Eric Bledsoe,Milwaukee Bucks,"$15,625,000"
Kelly Oubre Jr.,Phoenix Suns,"$15,625,000"
Dennis Schroder,Oklahoma City Thunder,"$15,500,000"
Ian Mahinmi,Washington Wizards,"$15,450,051"
James Johnson,Minnesota Timberwolves,"$15,349,400"
Bobby Portis,New York Knicks,"$15,000,000"
