PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
406,2004-05,00,1610612748,MIA,33.0,73,73,2490.0,658,1095,0.601,0,0,0.0,353,765,0.461,253,507,760,200,36,171,203,262,1669,Shaquille O'Neal,"$29,464,000"
87,2004-05,00,1610612745,HOU,39.0,80,2,1211.0,108,217,0.498,0,0,0.0,106,143,0.741,150,276,426,10,16,101,51,135,322,Dikembe Mutombo,"$19,684,000"
275,2004-05,00,1610612752,NYK,34.0,20,11,532.0,85,205,0.415,31,80,0.388,36,43,0.837,4,19,23,42,8,2,21,40,237,Allan Houston,"$17,531,000"
757,2004-05,00,1610612757,POR,31.0,81,70,2764.0,457,1165,0.392,181,490,0.369,182,199,0.915,56,254,310,458,86,2,164,158,1277,Damon Stoudamire,"$15,750,000"
949,2004-05,00,1610612757,POR,28.0,54,49,1868.0,337,670,0.503,15,39,0.385,220,254,0.866,123,269,392,111,49,26,117,150,909,Shareef Abdur-Rahim,"$14,625,000"
947,2004-05,00,1610612755,PHI,30.0,75,75,3173.0,771,1818,0.424,104,338,0.308,656,786,0.835,51,248,299,596,180,9,344,140,2302,Allen Iverson,"$14,625,000"
84,2004-05,00,1610612750,MIN,34.0,80,79,2451.0,398,961,0.414,69,211,0.327,156,188,0.83,65,189,254,179,53,21,127,124,1021,Latrell Sprewell,"$14,625,000"
980,2004-05,00,1610612739,CLE,30.0,78,78,2615.0,458,979,0.468,2,7,0.286,402,503,0.799,299,373,672,100,53,165,191,313,1320,Zydrunas Ilgauskas,"$14,625,000"
358,2004-05,00,1610612752,NYK,33.0,37,0,895.0,110,260,0.423,15,50,0.3,34,46,0.739,19,70,89,74,28,3,50,79,269,Anfernee Hardaway,"$14,625,000"
951,2004-05,00,1610612760,SEA,29.0,78,78,3064.0,640,1494,0.428,209,556,0.376,378,428,0.883,79,268,347,289,84,5,171,167,1867,Ray Allen,"$14,625,000"
977,2004-05,00,1610612747,LAL,26.0,66,66,2689.0,573,1324,0.433,131,387,0.339,542,664,0.816,95,297,392,398,86,53,270,174,1819,Kobe Bryant,"$14,625,000"
950,2004-05,00,1610612752,NYK,28.0,82,82,3281.0,604,1308,0.462,115,325,0.354,458,549,0.834,50,198,248,668,122,6,233,186,1781,Stephon Marbury,"$14,625,000"
714,2004-05,00,1610612742,DAL,32.0,64,64,2358.0,387,907,0.427,116,285,0.407,113,136,0.831,45,217,262,169,48,18,60,123,1003,Michael Finley,"$14,609,000"
1503,2004-05,00,1610612745,HOU,26.0,78,78,3182.0,715,1660,0.431,142,435,0.326,431,557,0.774,71,413,484,448,135,52,201,167,2003,Tracy McGrady,"$14,487,000"
147,2004-05,00,1610612761,TOR,32.0,81,65,2710.0,527,1159,0.455,108,274,0.394,333,390,0.854,44,232,276,209,63,10,180,190,1495,Jalen Rose,"$14,487,000"
255,2004-05,00,1610612753,ORL,32.0,67,67,2338.0,517,1015,0.509,3,13,0.231,280,341,0.821,77,241,318,220,97,28,161,144,1317,Grant Hill,"$14,487,000"
